Service,Idle,,,
,,,,
Service,Insert,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_005,いいよ……きて……ゆっくりね……
,,,,
Service,InsertAnal,,,
Service,InsertIdle,,,
Service,InsertIdleAnal,,,
Service,ClimaxSelf,,,
Service,ClimaxPartner,,,
Service,ClimaxBoth,,,
Service,BeforeClimaxSelf,,,
Service,BeforeClimaxPartner,,,
Service,BeforeClimaxBoth,,,
Service,AfterClimaxSelf,,,
Service,AfterClimaxPartner,,,
Service,AfterClimaxBoth,,,
,,,,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_039,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_040,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_041,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_047,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_051,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_052,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_055,
Service,LoopSlow,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_072,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_042,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_043,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_044,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_045,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_050,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_049,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_053,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_054,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_059,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_073,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_074,
Service,LoopFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_097,
Service,LateLoopPartnerSlow,,,
Service,LateLoopPartnerFast,,,
Service,LateLoopSelfSlow,,,
,,,,
Service,LateLoopSelfFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_062,
Service,LateLoopSelfFast,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_064,
,,,,
Service,LateLoopBothSlow,,,
Service,LateLoopBothFast,,,
Service,KissLoopSlow,,,
Service,KissLoopFast,,,
Service,Exclamation,,,
,,,,
Service,Pull,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_034,
Service,Pull,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_035,
Service,Pull,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_038,
,,,,
Intercourse,Idle,,,
,,,,
Intercourse,Insert,sound/data/pcm/c27/h/20_00.unity3d,h_fe_27_00_184,
Intercourse,Insert,sound/data/pcm/c27/h/20_00.unity3d,h_fe_27_01_003,
Intercourse,Insert,sound/data/pcm/c27/h/20_00.unity3d,h_fe_27_02_003,
Intercourse,Insert,sound/data/pcm/c27/h/20_00.unity3d,h_fe_27_02_004,
Intercourse,Insert,sound/data/pcm/c27/h/20_00.unity3d,h_fe_27_02_210,
Intercourse,Insert,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_000,
Intercourse,Insert,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_001,
Intercourse,Insert,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_002,
Intercourse,Insert,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_003,
Intercourse,Insert,sound/data/pcm/c27/h/00_00.unity3d,h_so_27_00_004,
